,Country,Deaths / million,Deaths,Cases
140,Federated States of Micronesia,569,65,26547
141,Palau,552,10,6290
142,Cayman Islands,538,37,31472
143,Faroe Islands,527,28,34658
144,Iceland,498,186,209915
145,Thailand,482,34583,4770005
146,Saint Barthélemy,454,5,5507
147,Vietnam,440,43206,11624000
148,Morocco,435,16304,1279024
149,Marshall Islands,408,17,16178
150,Brunei,396,178,343770
151,Nepal,393,12031,1003450
152,Dominican Republic,390,4384,661181
153,India,376,533552,45034360
154,Greenland,371,21,11971
155,Myanmar,359,19494,641951
156,Singapore,359,2024,3006155
157,Sao Tome and Principe,351,80,6749
158,Zimbabwe,351,5740,266359
159,Saint Pierre and Miquelon,339,2,3426
160,Lesotho,307,709,36138
161,Solomon Islands,274,199,25954
162,Saudi Arabia,264,9646,841469
163,Qatar,256,690,514524
164,United Arab Emirates,248,2349,1067030
165,Egypt,223,24830,516023
166,Mauritania,210,997,63972
167,Venezuela,206,5856,552695
168,Zambia,203,4069,349558
169,Afghanistan,194,7985,232948
170,Comoros,191,160,9109
171,Kiribati,182,24,5085
172,Cambodia,182,3056,139100
173,Macau,174,121,3514
174,Bangladesh,172,29493,2049519
175,Djibouti,168,189,15690
176,Kyrgyzstan,154,1024,88953
177,Algeria,153,6881,272017
178,Syria,142,3163,57423
179,Samoa,139,31,17057
180,Gambia,137,372,12626
181,Malawi,131,2686,89168
182,Pakistan,129,30656,1580631
183,Gabon,128,307,49051
184,Cook Islands,117,2,7324
185,Senegal,113,1971,89058
186,Tonga,112,12,16958
187,Equatorial Guinea,109,183,17130
188,Sudan,107,5046,63993
189,Rwanda,106,1468,133220
190,Kenya,105,5689,344101
191,Timor-Leste,102,138,23460
192,Laos,89,671,218962
193,Tuvalu,88,1,2943
194,China[c],85,122121,99347448
195,Guinea-Bissau,84,177,9614
196,Nauru,78,1,5393
197,Somalia,77,1361,27334
198,Uganda,76,3632,172149
199,Haiti,74,860,34298
200,Cameroon,70,1974,125146
201,Mozambique,68,2252,233772
202,Papua New Guinea,66,670,46864
203,Republic of the Congo,65,389,25216
204,Yemen,64,2159,11945
205,Ethiopia,61,7574,501158
206,Liberia,55,294,7930
207,Angola,54,1937,107357
208,Madagascar,48,1426,68493
209,Ghana,43,1462,171875
210,Vanuatu,42,14,12019
211,Nicaragua,35,245,16137
212,Guinea,33,468,38572
213,Mali,32,743,33164
214,Togo,32,290,39528
215,Ivory Coast,29,835,88403
216,Uzbekistan,29,1016,175081
217,Eritrea,27,103,10189
218,Bhutan,26,21,62697
219,Central African Republic,20,113,15440
220,Burkina Faso,17,400,22120
221,Democratic Republic of the Congo,14,1468,99338
222,Sierra Leone,14,125,7794
223,Nigeria,14,3155,267188
224,South Sudan,13,147,18820
225,Tanzania,12,846,43223
226,Tajikistan,12,125,17786
227,Benin,12,163,28036
228,Niger,12,315,9515
229,Chad,10,194,7702
230,Burundi,1,15,54569
231,North Korea,0,6,1
232,Pitcairn Islands,—,—,4
233,Falkland Islands,—,—,1923
234,Niue,—,—,1059
235,Turkmenistan,—,0,0
236,Vatican City,—,0,26
237,Tokelau,—,0,80
238,"Saint Helena, Ascension and Tristan da Cunha",—,—,2166
239,"^ Countries which do not report data for a column are not included in that column's world total. ^ Data on member states of the European Union are individually listed, but are also summed here for convenience. They are not double-counted in world totals. ^ Does not include special administrative regions (Hong Kong and Macau) or Taiwan.","^ Countries which do not report data for a column are not included in that column's world total. ^ Data on member states of the European Union are individually listed, but are also summed here for convenience. They are not double-counted in world totals. ^ Does not include special administrative regions (Hong Kong and Macau) or Taiwan.","^ Countries which do not report data for a column are not included in that column's world total. ^ Data on member states of the European Union are individually listed, but are also summed here for convenience. They are not double-counted in world totals. ^ Does not include special administrative regions (Hong Kong and Macau) or Taiwan.","^ Countries which do not report data for a column are not included in that column's world total. ^ Data on member states of the European Union are individually listed, but are also summed here for convenience. They are not double-counted in world totals. ^ Does not include special administrative regions (Hong Kong and Macau) or Taiwan."
